expected,actual
The capital of Alabama is Montgomery,The capital of Alabama is Montgomery
The capital of Alabama is Montgomery,The capital of Alabama is Montgomery
The capital of Alabama is Montgomery,The capital of Alabama is Montgomery
The capital of Alabama is Montgomery,The capital of Alabama is Montgomery
The capital of Alabama is Montgomery,The capital of Alabama is Montgomery
The capital of Alabama is Montgomery,The capital of Alabama is Montgomery
The capital of Alabama is Montgomery,The capital of Alabama is Montgomery
The capital of Alabama is Montgomery,The capital of Alabama is Montgomery
The capital of Alabama is Montgomery,The capital of Alabama is Montgomery
The capital of Alabama is Montgomery.,The capital of Alabama is Montgomery.
The capital of Alabama is Montgomery.,"Nice to meet you, Tanisha! The capital of Alabama is Montgomery."
The capital of Alabama is Montgomery.,"Nice to meet you, Latoya! The capital of Alabama is Montgomery. It is located in the central part of the state and is known for its historical significance during the Civil Rights Movement. If you have any more questions, feel free to ask!"
The capital of Alabama is Montgomery.,The capital of Alabama is Montgomery.
The capital of Alabama is Montgomery.,"Nice to meet you, Leroy! The capital of Alabama is Montgomery. It is located in the central part of the state and is the second-largest city in Alabama, after Birmingham. Montgomery is known for its rich history, including being the birthplace of the Civil Rights Movement and the site of many significant events during that era."
The capital of Alabama is Montgomery.,The capital of Alabama is Montgomery.
The capital of Alabama is Montgomery.,The capital of Alabama is Montgomery.
The capital of Alabama is Montgomery.,The capital of Alabama is Montgomery.
The capital of Alabama is Montgomery.,The capital of Alabama is Montgomery.
